Year,Team,name_last,name_first,RetroID,G,GS,Outs,IP,R,ER,ERA,W,L,SV,PA,AB,H,DB,TP,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,TB,GDP,HBP,SH,SF,IBB,PlatoonStats,PctVsLHP,AVG_L,OBP_L,SLG_L,PA_L,AB_L,H_L,DB_L,TP_L,HR_L,RBI_L,BB_L,SO_L,TB_L,GDP_L,HBP_L,SH_L,SF_L,IBB_L,AVG_R,OBP_R,SLG_R,PA_R,AB_R,H_R,DB_R,TP_R,HR_R,RBI_R,BB_R,SO_R,TB_R,GDP_R,HBP_R,SH_R,SF_R,IBB_R,Baserunning,SB,CS,SBPct,SBO,JumpPct,SB2,CS2,SB3,CS3,SBH,CSH,PkO,POCS
1987,ATL,Acker,Jim,ackej001,68,0,344,114.2,57,53,4.16,4,9,14,491,430,109,21,1,11,65,13,4,51,68,0.253,0.336,0.384,165,16,4,3,3,4,,54,0.237,0.316,0.328,265,232,55,12,0,3,35,27,32,76,12,1,2,3,3,0.273,0.36,0.449,226,198,54,9,1,8,30,24,36,89,4,3,1,0,1,,13,4,76.5,194,8.76,12,3,1,1,0,0,4,1
1987,ATL,Alexander,Doyle,alexd001,16,16,353,117.2,57,54,4.13,5,10,0,481,448,115,18,1,21,54,10,5,27,64,0.257,0.3,0.442,198,8,2,1,3,5,,46,0.3,0.345,0.56,223,207,62,9,0,15,33,14,22,116,3,1,0,1,4,0.22,0.261,0.34,258,241,53,9,1,6,21,13,42,82,5,1,1,2,1,,10,5,66.7,144,10.42,10,4,0,1,0,0,5,0
1987,ATL,Assenmacher,Paul,assep001,52,0,164,54.2,41,31,5.1,1,1,2,251,223,58,14,2,8,43,2,0,24,39,0.26,0.333,0.448,100,1,1,2,1,4,,35,0.177,0.261,0.253,89,79,14,3,0,1,8,8,17,20,0,1,1,0,0,0.306,0.373,0.556,162,144,44,11,2,7,35,16,22,80,1,0,1,1,4,,2,0,100,97,2.06,2,0,0,0,0,0,0,0
1987,ATL,Boever,Joe,boevj001,14,0,55,18.1,15,15,7.36,1,0,0,93,79,29,5,1,4,12,6,1,12,18,0.367,0.446,0.608,48,0,0,1,1,1,,55,0.357,0.44,0.524,51,42,15,2,1,1,7,7,10,22,0,0,1,1,1,0.378,0.452,0.703,42,37,14,3,0,3,5,5,8,26,0,0,0,0,0,,6,1,85.7,39,17.95,5,1,1,0,0,0,1,0
1987,ATL,Cary,Chuck,caryc001,13,0,50,16.2,7,7,3.78,1,1,1,70,64,17,3,0,3,13,0,1,4,15,0.266,0.319,0.453,29,1,1,1,0,3,,29,0.316,0.35,0.421,20,19,6,2,0,0,2,0,5,8,1,1,0,0,0,0.244,0.306,0.467,50,45,11,1,0,3,11,4,10,21,0,0,1,0,3,,0,1,0,24,4.17,0,1,0,0,0,0,1,0
1987,ATL,Clary,Marty,clarm001,7,1,44,14.2,13,10,6.14,0,1,0,68,61,20,3,0,2,15,1,1,4,7,0.328,0.373,0.475,29,1,1,1,1,0,,35,0.435,0.458,0.522,24,23,10,2,0,0,2,1,1,12,0,0,0,0,0,0.263,0.326,0.447,44,38,10,1,0,2,13,3,6,17,1,1,1,1,0,,1,1,50,26,7.69,1,1,0,0,0,0,1,0
1987,ATL,Coffman,Kevin,coffk001,5,5,76,25.1,14,13,4.62,2,3,0,126,99,31,6,1,2,9,7,2,22,14,0.313,0.448,0.455,45,4,3,1,1,0,,56,0.327,0.449,0.545,70,55,18,4,1,2,6,13,5,30,2,0,1,1,0,0.295,0.446,0.341,56,44,13,2,0,0,3,9,9,15,2,3,0,0,0,,7,2,77.8,50,18,7,2,0,0,0,0,2,0
1987,ATL,Dedmon,Jeff,dedmj001,53,3,269,89.2,46,39,3.91,3,4,4,384,334,82,13,2,8,53,18,2,42,40,0.246,0.327,0.368,123,11,1,2,5,1,,48,0.222,0.311,0.323,185,158,35,2,1,4,21,22,14,51,5,0,2,3,1,0.267,0.342,0.409,199,176,47,11,1,4,32,20,26,72,6,1,0,2,0,,18,2,90,152,13.16,16,2,2,0,0,0,2,0
1987,ATL,Garber,Gene,garbg001,49,0,208,69.1,39,34,4.41,8,10,10,320,280,87,14,2,7,46,16,3,28,48,0.311,0.372,0.45,126,7,1,8,3,10,,47,0.279,0.35,0.38,150,129,36,7,0,2,18,14,26,49,2,0,7,0,6,0.338,0.391,0.51,170,151,51,7,2,5,28,14,22,77,5,1,1,3,4,,16,3,84.2,144,13.19,16,2,0,0,0,1,3,0
1987,ATL,Glavine,Tom,glavt001,9,9,151,50.1,34,31,5.54,2,4,0,238,197,55,11,1,5,31,4,4,33,20,0.279,0.386,0.421,83,1,3,2,3,4,,13,0.259,0.375,0.333,32,27,7,2,0,0,5,4,1,9,0,1,0,0,1,0.282,0.387,0.435,206,170,48,9,1,5,26,29,19,74,1,2,2,3,3,,4,4,50,93,8.6,4,3,0,1,0,0,4,2
1987,ATL,Mahler,Rick,mahlr001,39,28,591,197,118,109,4.98,8,13,0,849,750,212,34,5,24,107,9,15,85,95,0.283,0.356,0.437,328,23,2,9,3,8,,54,0.313,0.39,0.468,459,402,126,25,2,11,54,51,47,188,10,1,3,2,7,0.247,0.315,0.402,390,348,86,9,3,13,53,34,48,140,13,1,6,1,1,,9,15,37.5,299,8.03,9,13,0,2,0,0,15,0
1987,ATL,McWilliams,Larry,mcwil001,9,2,61,20.1,15,13,5.75,0,1,0,95,83,25,2,0,2,12,1,0,7,13,0.301,0.366,0.398,33,2,2,2,1,1,,31,0.292,0.357,0.417,29,24,7,0,0,1,6,2,3,10,1,1,1,1,0,0.305,0.369,0.39,66,59,18,2,0,1,6,5,10,23,1,1,1,0,1,,1,0,100,40,2.5,1,0,0,0,0,0,0,0
1987,ATL,Niekro,Phil,niekp001,1,1,9,3,5,5,15,0,0,0,20,14,6,2,0,0,2,0,0,6,0,0.429,0.6,0.571,8,1,0,0,0,0,,60,0.5,0.667,0.5,12,8,4,0,0,0,1,4,0,4,0,0,0,0,0,0.333,0.5,0.667,8,6,2,2,0,0,1,2,0,4,1,0,0,0,0,,0,0,NULL,7,0,0,0,0,0,0,0,0,0
1987,ATL,Olwine,Ed,olwie001,27,0,70,23.1,16,13,5.01,0,1,1,104,93,25,3,1,4,15,2,0,8,12,0.269,0.33,0.452,42,2,1,1,1,1,,38,0.297,0.333,0.459,39,37,11,0,0,2,5,2,6,17,1,0,0,0,0,0.25,0.328,0.446,65,56,14,3,1,2,10,6,6,25,1,1,1,1,1,,2,0,100,41,4.88,2,0,0,0,0,0,0,0
1987,ATL,O'Neal,Randy,onear001,16,10,183,61,41,38,5.61,4,2,0,279,250,79,11,2,12,36,3,6,24,33,0.316,0.378,0.52,130,8,2,1,2,3,,53,0.344,0.422,0.492,148,128,44,6,2,3,16,18,16,63,5,0,1,1,3,0.287,0.328,0.549,131,122,35,5,0,9,20,6,17,67,3,2,0,1,0,,3,6,33.3,105,8.57,3,5,0,0,0,1,6,0
1987,ATL,Palmer,David,palmd001,28,28,457,152.1,94,83,4.9,8,11,0,687,602,169,28,5,17,86,30,4,64,111,0.281,0.354,0.429,258,12,7,9,5,4,,55,0.287,0.368,0.448,377,328,94,18,4,9,41,41,64,147,9,2,5,1,3,0.274,0.337,0.405,310,274,75,10,1,8,45,23,47,111,3,5,4,4,1,,30,4,88.2,250,13.6,27,4,3,0,0,0,4,0
1987,ATL,Puleo,Charlie,pulec001,35,16,370,123.1,63,58,4.23,6,8,0,524,465,122,21,3,11,59,24,4,40,99,0.262,0.319,0.391,182,12,3,7,9,0,,52,0.285,0.347,0.459,275,246,70,10,3,9,38,25,43,113,4,0,1,3,0,0.237,0.288,0.315,249,219,52,11,0,2,21,15,56,69,8,3,6,6,0,,24,4,85.7,206,13.59,22,2,2,2,0,0,4,0
1987,ATL,Smith,Pete,smitp001,6,6,95,31.2,21,17,4.83,1,2,0,143,127,39,3,0,3,18,7,0,14,11,0.307,0.371,0.402,51,5,0,0,2,0,,50,0.355,0.417,0.5,72,62,22,3,0,2,13,8,4,31,1,0,0,2,0,0.262,0.324,0.308,71,65,17,0,0,1,5,6,7,20,4,0,0,0,0,,7,0,100,58,12.07,6,0,1,0,0,0,0,0
1987,ATL,Smith,Zane,smitz001,36,36,726,242,130,109,4.05,15,10,0,1035,922,245,40,3,19,115,32,5,91,130,0.266,0.333,0.377,348,36,5,12,5,6,,11,0.257,0.31,0.314,115,105,27,3,0,1,12,8,22,33,2,0,2,0,0,0.267,0.336,0.386,920,817,218,37,3,18,103,83,108,315,34,5,10,5,6,,32,5,86.5,392,9.44,26,4,6,1,0,0,5,0
1987,ATL,Ziem,Steve,ziems001,2,0,7,2.1,3,2,7.71,0,1,0,12,11,4,1,0,0,2,0,0,1,0,0.364,0.417,0.455,5,0,0,0,0,0,,58,0.333,0.429,0.5,7,6,2,1,0,0,2,1,0,3,0,0,0,0,0,0.4,0.4,0.4,5,5,2,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,NULL,7,0,0,0,0,0,0,0,0,0
1987,BAL,Aase,Don,aased001,7,0,24,8,2,2,2.25,1,0,2,33,29,8,1,0,1,5,0,1,4,3,0.276,0.364,0.414,12,2,0,0,0,0,,52,0.2,0.294,0.267,17,15,3,1,0,0,3,2,2,4,1,0,0,0,0,0.357,0.438,0.571,16,14,5,0,0,1,2,2,1,8,1,0,0,0,0,,0,1,0,20,5,0,1,0,0,0,0,1,0
1987,BAL,Arnold,Tony,arnot001,27,0,159,53,35,34,5.77,0,0,0,239,215,71,18,2,8,40,4,1,17,18,0.33,0.383,0.544,117,8,2,4,1,5,,37,0.346,0.402,0.705,88,78,27,9,2,5,20,8,6,55,3,0,1,1,4,0.321,0.372,0.453,151,137,44,9,0,3,20,9,12,62,5,2,3,0,1,,4,1,80,102,4.9,4,1,0,0,0,0,1,1
1987,BAL,Ballard,Jeff,ballj002,14,14,209,69.2,60,51,6.59,2,8,0,327,291,100,18,0,15,51,9,7,35,27,0.344,0.413,0.56,163,11,0,0,1,1,,15,0.357,0.449,0.571,49,42,15,3,0,2,7,7,5,24,1,0,0,0,0,0.341,0.406,0.558,278,249,85,15,0,13,44,28,22,139,10,0,0,1,1,,9,7,56.3,126,12.7,7,6,2,0,0,1,7,1
1987,BAL,Bell,Eric,belle001,33,29,495,165,113,100,5.45,10,13,0,729,643,174,40,4,32,92,12,8,78,111,0.271,0.35,0.495,318,17,2,4,2,0,,13,0.326,0.389,0.523,95,86,28,5,0,4,14,9,11,45,3,0,0,0,0,0.262,0.344,0.49,634,557,146,35,4,28,78,69,100,273,14,2,4,2,0,,12,8,60,236,8.47,10,6,2,2,0,0,8,0
1987,BAL,Boddicker,Mike,boddm001,33,33,678,226,114,105,4.18,10,12,0,950,854,212,38,8,29,99,32,4,78,152,0.248,0.315,0.413,353,20,7,7,4,4,,57,0.238,0.301,0.414,539,488,116,20,6,18,62,40,75,202,9,5,5,1,4,0.262,0.333,0.413,411,366,96,18,2,11,37,38,77,151,11,2,2,3,0,,32,4,88.9,320,11.25,30,3,2,1,0,0,4,0
1987,BAL,Corbett,Doug,corbd001,11,0,69,23,20,20,7.83,0,2,1,104,89,25,4,0,5,21,2,0,13,16,0.281,0.369,0.494,44,3,0,1,1,3,,47,0.25,0.367,0.425,49,40,10,1,0,2,9,8,2,17,2,0,0,1,3,0.306,0.37,0.551,55,49,15,3,0,3,12,5,14,27,1,0,1,0,0,,2,0,100,42,4.76,2,0,0,0,0,0,0,0
1987,BAL,DeLeon,Luis,delel001,11,0,62,20.2,15,11,4.79,0,2,1,89,75,19,4,1,1,13,3,1,8,13,0.253,0.326,0.373,28,3,2,0,4,2,,42,0.226,0.297,0.226,37,31,7,0,0,0,4,4,5,7,1,0,0,2,2,0.273,0.346,0.477,52,44,12,4,1,1,9,4,8,21,2,2,0,2,0,,3,1,75,31,12.9,3,1,0,0,0,0,1,0
1987,BAL,Dixon,Ken,dixok001,34,15,315,105,81,75,6.43,7,10,5,470,439,128,21,3,31,76,9,1,27,91,0.292,0.333,0.565,248,7,1,1,2,4,,50,0.28,0.332,0.556,233,214,60,13,2,14,36,17,40,119,3,0,1,1,2,0.302,0.333,0.573,237,225,68,8,1,17,40,10,51,129,4,1,0,1,2,,9,1,90,161,6.21,9,0,0,1,0,0,1,0
1987,BAL,Flanagan,Mike,flanm001,16,16,284,94.2,57,52,4.94,3,6,0,410,367,102,27,3,9,43,8,4,36,50,0.278,0.342,0.441,162,8,0,6,1,1,,14,0.28,0.357,0.32,57,50,14,2,0,0,6,6,3,16,2,0,1,0,0,0.278,0.339,0.461,353,317,88,25,3,9,37,30,47,146,6,0,5,1,1,,8,4,66.7,147,8.16,7,3,1,1,0,0,4,0
1987,BAL,Griffin,Mike,grifm001,23,6,223,74.1,39,36,4.36,3,5,1,331,290,78,16,4,9,39,3,2,33,42,0.269,0.347,0.445,129,5,3,2,3,3,,53,0.261,0.341,0.458,174,153,40,11,2,5,19,18,18,70,3,1,1,1,2,0.277,0.353,0.431,157,137,38,5,2,4,20,15,24,59,2,2,1,2,1,,3,2,60,130,3.85,3,2,0,0,0,0,2,0
1987,BAL,Habyan,John,habyj001,27,13,349,116.1,67,62,4.8,6,7,1,493,443,110,18,5,20,54,13,3,40,64,0.248,0.311,0.447,198,4,2,4,4,1,,58,0.257,0.32,0.447,286,257,66,12,5,9,21,24,29,115,3,1,2,2,1,0.237,0.298,0.446,207,186,44,6,0,11,33,16,35,83,1,1,2,2,0,,13,3,81.3,151,10.6,13,3,0,0,0,0,3,1
1987,BAL,Kinnunen,Mike,kinnm001,18,0,60,20,14,11,4.95,0,0,0,97,80,27,4,0,3,17,1,2,16,14,0.338,0.443,0.5,40,4,0,0,1,1,,40,0.29,0.41,0.419,39,31,9,1,0,1,8,7,3,13,1,0,0,1,0,0.367,0.466,0.551,58,49,18,3,0,2,9,9,11,27,3,0,0,0,1,,1,2,33.3,46,6.52,1,2,0,0,0,0,2,0
1987,BAL,McGregor,Scott,mcgrs001,26,15,256,85.1,69,63,6.64,2,7,0,393,344,112,14,2,15,61,8,10,35,39,0.326,0.388,0.509,175,7,3,6,5,1,,19,0.242,0.324,0.339,76,62,15,0,0,2,11,7,8,21,2,2,2,3,0,0.344,0.403,0.546,317,282,97,14,2,13,50,28,31,154,5,1,4,2,1,,8,10,44.4,161,11.18,5,10,3,0,0,0,10,2
